"Property: Property Name","# of Dock Doors","# of Grade Level Doors","# of Parking Spaces","Available SF","Ceiling Height (ft)","City","Land Size (Acres)","Lease Price (PSF)","Net Operating Income","Lead Broker","Year Built","Warehouse Space (SF)","Price (PSF)","Price (per Unit)","Price (total)","Sprinkler Type","Unit Amenities","# of Bathrooms","# of Bedrooms","# of Buildings","# of Elevators","# Of Units","# of Floors","Access Frontage","Building Status","Sales (per SF)","Building Type","Lease Structure","Truck Court Depth (ft)","Traffic (per Day)","In-Place Rent (psf)","Building Size (SF)","Dock Height (ft)","Listing Status"
"2905 W Olive St","","","103","","","Rogers","0.00","","","","1980","","","","","","","","","","","15","","","","","","","","","","20","","For Sale"
"2028 N Shiloh Drive, Fayetteville","","","","","","Fayetteville","0.00","12.00","","Palmer","","","","","","","","","","","","","1","","","","","NNN","","","","6400","","For Sale"
"2102 Old Columbian Rd","","","","","","Birmingham","0.00","","","","","","","","","","","","","","","","","","","","","","","","","36524","","For Sale"
"0 Wallis Rd","","","","","","Cave Springs","0.67","","","Clinton","","","","","","","","","","","","","","","","","","","","","","0","","For Sale"
"101 Block Ave","","","","","","Fayetteville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","8144","","For Sale"
"1711 Ford Ave","","","","","","Springdale","0.04","","","Palmer","","","","","","","","","","4","","","","","","","","","","","","28000","","For Sale"
"11817 Walters Rd","","","","","","Bentonville","0.00","","","Cameron","","","","","120000.00","","","","","","","","","","","","","","","","","1704","","For Sale"
"1303 E Joyce Blvd","","","","","","Fayetteville","0.00","","","Clinton","","","","","","","","","","","","","","","","","","","","","","63688","","For Sale"
"1618 E Centerton Blvd","","","","","","Centerton","1.05","","","","","","","","","","","","","","","","","","","","","","","","","0","","For Sale"
"1765 65 Hwy S","","","","","","Harrison","3.75","","","Palmer","","","","","1100000.00","","","","","","","","","","","","","","","","","0","","For Sale"
"1315 & 1317 S Duncan Ave","","","","","","Fayetteville","5.20","","","","","","","","570000.00","","","","","","","","","","","","","","","","","4792","","For Sale"
"2218 Worth Ln","","","","","","Springdale","0.00","","","Palmer","","","","","","","","","","","","5","","","","","","","","","","57700","","For Sale"
"2324 E Robinson Ave","","","","","","Springdale","0.96","5416.67","","Palmer","","5000","","","","","","","","1","","","","","","","","","","","","5000","","For Sale"
"3151 Apex Dr","","","","","","Charlotte","0.00","","","","","","","","","","","","","","","","","","","","","NNN","","","","6106","","For Sale"
"3195 Hwy 412","","","","","","Siloam Springs","0.00","","","","","","","","","","","","","","","","","","","","","","","","","1368","","For Sale"
"3801 W Main","","","","","","Russellville","0.00","","","","","","","","","","","","","","","","","","","","","","","","","2572","","For Sale"
"3711 Southern Hills Blvd","","","","","","Rogers","1.37","","","Cameron","","","","","","","","","","","","","","","","","","","","","","0","","For Sale"
"412 Albano St","4","","","","","Springdale","0.00","7.25","","Palmer","","","","","","","","","","","","","","","","","","NNN","","","","13778","","For Sale"
"450 N Patterson Ave","","","","","","Winston-Salem","0.00","","","","","","","","","","","","","","","","","","","","","","","","","5388","","For Sale"
"5180 W Northgate Rd","","","","","","Rogers","0.00","29.25","","","","","","","","","","","","","","","","","","","","","","","","6300","","For Sale"
"770 Reddish Ln, Springdale","","2","","","","Springdale","1.25","8.50","","Palmer","1976","","125.00","","900000.00","","","","","1","","1","","","","","","","","","","7200","","For Sale"
"N Old Missouri Rd","","","","","","Springdale","3.98","","","","","","","","64000.00","","","","","","","","","","","","","","","","","0","","For Sale"
"W Pleasant Grove Rd & N Main St","","","","","","Rogers","0.95","","","","","","","","520000.00","","","","","","","","","","","","","","","","","0","","For Sale"
"4415 W Walnut St and N 46th St","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","NNN","","","","10952","","For Sale"
"506 Enterprise Dr","","","","","","Lowell","0.00","","","","","","","","","","","","","","","","","","","","","","","","","3968","","For Sale"
"3480 Bella Vista Way","","","","","","Bella Vista","0.00","","","Clinton","","","","","","","","","","","","","","","","","","","","","","1945","","For Sale"
"2828 N Crossover Rd","","","","","","Fayetteville","3.68","","","Corey","","","","","","","","","","","","","","","","","","","","","","14465","","For Sale"
"4100 N Promenade Blvd","","","","","","Rogers","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","103393","","For Sale"
"1100 W Hudson Rd","","","","","","Rogers","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","42032","","For Sale"
"101 E Walnut St","","","","","","Rogers","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","22220","","For Sale"
"916 W Monroe Ave","","","","","","Lowell","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","39832","","For Sale"
"1205 N Futrall Dr","","","","","","Fayetteville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","27500","","For Sale"
"3505 N Steele Blvd","","","","","","Fayetteville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","22228","","For Sale"
"4355 E Robinson Ave","","","","","","Springdale","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","20800","","For Sale"
"800 E Audrey Ln","","","","","","Rogers","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","19832","","For Sale"
"2588  N Gregg Ave","","","","","","Fayetteville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","19575","","For Sale"
"3311 N College Ave","","","","","","Fayetteville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","19300","","For Sale"
"1822 N Crossover Rd","","","","","","Fayetteville","0.00","","","","","","","","","","","","","","","","","","","","","","","","","1800","","For Sale"
"203 Main St","","","","","","Hope","0.00","7.80","","","","","","","","","","","","","","","","","","","","","","","","2400","","For Sale"
"2101 Old Columbian Rd","","","","","","Birmingham","0.00","","","","","","","","","","","","","","","","","","","","","","","","","36524","","For Sale"
"2206 E Highland Dr","","","","","","Jonesboro","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","5537","","For Sale"
"7 N Block Ave","","","","","","Fayetteville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","19227","","For Sale"
"2143 W Martin Luther King Jr Blvd","","","","","","Fayetteville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","17175","","For Sale"
"718 N 2nd St","","","","","","Rogers","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","16230","","For Sale"
"307 S Main St","","","","","","Bentonville","0.25","","","Michael","2018","","","","","","","","","1","","","4","","","","","","","","","17415","","For Sale"
"13106 NE Hwy 62 Rd","","","","","","Rogers","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","15644","","For Sale"
"838 N 48th St","","","","","","Springdale","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","15264","","For Sale"
"2201 E Central Ave","","","","","","Bentonville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","15000","","For Sale"
"25 Collins Industrial Place","","","","","","North Little Rock","0.00","","","Palmer","","","","","","","","","","","","","","","","","","","","","","3520","","For Sale"
"1311 W Clayton St","","","","","","Springdale","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","14613","","For Sale"
"250 E Centerton Blvd","","","","","","Centerton","1.59","","","Clinton","","","","","1325000.00","","","","","","","","","","","","","","","","","0","","For Sale"
"200 W Dickson St","","","","","","Fayetteville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","13810","","For Sale"
"2333 N College Ave","","","","","","Fayetteville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","12550","","For Sale"
"2940 W Sunset Ave","","","","","","Springdale","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","13168","","For Sale"
"1250 N Leverett Ave","","","","","","Fayetteville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","13600","","For Sale"
"3533 N Shiloh Dr","","","","","","Fayetteville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","13398","","For Sale"
"320 SW 28th St","","","","","","Bentonville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","12154","","For Sale"
"1986 W Sunset Ave","","","","","","Springdale","0.00","","","Palmer","","","","","","","","","","1","","","","","","","","","","","","9800","","For Sale"
"211 Commercial Ave","","","","","","Lowell","0.00","","","Palmer","","","","","","","","","","1","","","","","","","","","","","","12070","","For Sale"
"2605 W Pleasant Grove Rd","","","","","","Rogers","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","10160","","For Sale"
"1711 W Hudson Rd","","","","","","Rogers","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","9267","","For Sale"
"1102 S Thompson St","","","","","","Springdale","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","8520","","For Sale"
"181 S 40th St","","","","","","Springdale","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","9500","","For Sale"
"233 E Main St","","","","","","Farmington","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","7746","","For Sale"
"117 W Walnut St","","","","","","Rogers","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","8648","","For Sale"
"643 E Van Asche Dr","","","","","","Fayetteville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","7202","","For Sale"
"1014 Athens Ave","","","","","","Springdale","1.04","","","Palmer","","","","","","","","","","1","","","","","","","","NNN","","","","7500","","For Sale"
"105 S Dixieland St","","","","","","Lowell","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","8399","","For Sale"
"5204 S Thompson St","","","","","","Springdale","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","8330","","For Sale"
